,messagenumber,typeOfLevel,level,parameterName,nameOfFirstFixedSurface,nameOfSecondFixedSurface,shortNameECMF,shortName,nameECMF,name,cfNameECMF,cfName,cfVarNameECMF,cfVarName
0,1,atmosphere,0,196,Entire atmosphere,Missing,unknown,refc,unknown,Maximum/Composite radar reflectivity,unknown,unknown,unknown,unknown
1,2,cloudTop,0,3,Level of cloud tops,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2,3,atmosphere,0,201,Entire atmosphere,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
3,4,atmosphere,0,Vertically-integrated liquid,Entire atmosphere,Missing,veril,veril,Vertically-integrated liquid,Vertically-integrated liquid,unknown,unknown,veril,veril
4,5,surface,0,Visibility,Ground or water surface,Missing,vis,vis,Visibility,Visibility,unknown,unknown,vis,vis
5,6,heightAboveGround,1000,195,Specified height level above ground,Missing,unknown,refd,unknown,Derived radar reflectivity,unknown,unknown,unknown,unknown
6,7,heightAboveGround,4000,195,Specified height level above ground,Missing,unknown,refd,unknown,Derived radar reflectivity,unknown,unknown,unknown,unknown
7,8,isothermal,263,195,Isothermal level,Missing,unknown,refd,unknown,Derived radar reflectivity,unknown,unknown,unknown,unknown
8,9,surface,0,Wind speed (gust),Ground or water surface,Missing,gust,gust,Wind speed (gust),Wind speed (gust),unknown,unknown,gust,gust
9,10,isobaricInhPa,250,u-component of wind,Isobaric surface,Missing,u,u,U component of wind,U component of wind,eastward_wind,eastward_wind,u,u
10,11,isobaricInhPa,250,v-component of wind,Isobaric surface,Missing,v,v,V component of wind,V component of wind,northward_wind,northward_wind,v,v
11,12,isobaricInhPa,300,u-component of wind,Isobaric surface,Missing,u,u,U component of wind,U component of wind,eastward_wind,eastward_wind,u,u
12,13,isobaricInhPa,300,v-component of wind,Isobaric surface,Missing,v,v,V component of wind,V component of wind,northward_wind,northward_wind,v,v
13,14,isobaricInhPa,500,Geopotential height,Isobaric surface,Missing,gh,gh,Geopotential Height,Geopotential Height,geopotential_height,geopotential_height,gh,gh
14,15,isobaricInhPa,500,Temperature,Isobaric surface,Missing,t,t,Temperature,Temperature,air_temperature,air_temperature,t,t
15,16,isobaricInhPa,500,Dew point temperature,Isobaric surface,Missing,dpt,dpt,Dew point temperature,Dew point temperature,unknown,unknown,dpt,dpt
16,17,isobaricInhPa,500,u-component of wind,Isobaric surface,Missing,u,u,U component of wind,U component of wind,eastward_wind,eastward_wind,u,u
17,18,isobaricInhPa,500,v-component of wind,Isobaric surface,Missing,v,v,V component of wind,V component of wind,northward_wind,northward_wind,v,v
18,19,isobaricInhPa,700,Geopotential height,Isobaric surface,Missing,gh,gh,Geopotential Height,Geopotential Height,geopotential_height,geopotential_height,gh,gh
19,20,isobaricInhPa,700,Temperature,Isobaric surface,Missing,t,t,Temperature,Temperature,air_temperature,air_temperature,t,t
