,messagenumber,typeOfLevel,level,parameterName,nameOfFirstFixedSurface,nameOfSecondFixedSurface,shortNameECMF,shortName,nameECMF,name,cfNameECMF,cfName,cfVarNameECMF,cfVarName
0,1,hybrid,1,Pressure,Hybrid level,Missing,pres,pres,Pressure,Pressure,unknown,unknown,pres,pres
1,2,hybrid,1,Cloud mixing ratio,Hybrid level,Missing,clwmr,clwmr,Cloud mixing ratio,Cloud mixing ratio,unknown,unknown,clwmr,clwmr
2,3,hybrid,1,82,Hybrid level,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
3,4,hybrid,1,Rain mixing ratio,Hybrid level,Missing,rwmr,rwmr,Rain mixing ratio,Rain mixing ratio,unknown,unknown,rwmr,rwmr
4,5,hybrid,1,Snow mixing ratio,Hybrid level,Missing,snmr,snmr,Snow mixing ratio,Snow mixing ratio,unknown,unknown,snmr,snmr
5,6,hybrid,1,Graupel (snow pellets),Hybrid level,Missing,grle,grle,Graupel (snow pellets),Graupel (snow pellets),unknown,unknown,grle,grle
6,7,hybrid,1,28,Hybrid level,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
7,8,hybrid,1,29,Hybrid level,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
8,9,hybrid,1,100,Hybrid level,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
9,10,hybrid,1,193,Hybrid level,Missing,unknown,pmtf,unknown,Particulate matter (fine),unknown,unknown,unknown,unknown
10,11,hybrid,1,192,Hybrid level,Missing,unknown,pmtc,unknown,Particulate matter (coarse),unknown,unknown,unknown,unknown
11,12,hybrid,1,32,Hybrid level,Missing,cc,cc,Fraction of cloud cover,Fraction of cloud cover,unknown,unknown,cc,cc
12,13,hybrid,1,Geopotential height,Hybrid level,Missing,gh,gh,Geopotential Height,Geopotential Height,geopotential_height,geopotential_height,gh,gh
13,14,hybrid,1,Temperature,Hybrid level,Missing,t,t,Temperature,Temperature,air_temperature,air_temperature,t,t
14,15,hybrid,1,Specific humidity,Hybrid level,Missing,q,q,Specific humidity,Specific humidity,specific_humidity,specific_humidity,q,q
15,16,hybrid,1,u-component of wind,Hybrid level,Missing,u,u,U component of wind,U component of wind,eastward_wind,eastward_wind,u,u
16,17,hybrid,1,v-component of wind,Hybrid level,Missing,v,v,V component of wind,V component of wind,northward_wind,northward_wind,v,v
17,18,hybrid,1,Vertical velocity (pressure),Hybrid level,Missing,w,w,Vertical velocity,Vertical velocity,lagrangian_tendency_of_air_pressure,lagrangian_tendency_of_air_pressure,w,w
18,19,hybrid,1,Turbulent kinetic energy,Hybrid level,Missing,tke,tke,Turbulent kinetic energy,Turbulent kinetic energy,unknown,unknown,tke,tke
19,20,hybrid,1,Mass density,Hybrid level,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1000,1001,depthBelowLandLayer,0,192,Depth below land surface,Depth below land surface,unknown,soilw,unknown,Volumetric soil moisture content,unknown,unknown,unknown,unknown
1001,1002,depthBelowLandLayer,0,192,Depth below land surface,Depth below land surface,unknown,soilw,unknown,Volumetric soil moisture content,unknown,unknown,unknown,unknown
1002,1003,atmosphere,0,196,Entire atmosphere,Missing,unknown,refc,unknown,Maximum/Composite radar reflectivity,unknown,unknown,unknown,unknown
1003,1004,cloudTop,0,3,Level of cloud tops,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1004,1005,atmosphere,0,Vertically-integrated liquid,Entire atmosphere,Missing,veril,veril,Vertically-integrated liquid,Vertically-integrated liquid,unknown,unknown,veril,veril
1005,1006,surface,0,Visibility,Ground or water surface,Missing,vis,vis,Visibility,Visibility,unknown,unknown,vis,vis
1006,1007,heightAboveGround,1000,195,Specified height level above ground,Missing,unknown,refd,unknown,Derived radar reflectivity,unknown,unknown,unknown,unknown
1007,1008,heightAboveGround,4000,195,Specified height level above ground,Missing,unknown,refd,unknown,Derived radar reflectivity,unknown,unknown,unknown,unknown
1008,1009,isothermal,263,195,Isothermal level,Missing,unknown,refd,unknown,Derived radar reflectivity,unknown,unknown,unknown,unknown
1009,1010,surface,0,Wind speed (gust),Ground or water surface,Missing,gust,gust,Wind speed (gust),Wind speed (gust),unknown,unknown,gust,gust
1010,1011,pressureFromGroundLayer,10000,220,Level at specified pressure difference from ground to level,Level at specified pressure difference from ground to level,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1011,1012,pressureFromGroundLayer,10000,221,Level at specified pressure difference from ground to level,Level at specified pressure difference from ground to level,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1012,1013,sigmaLayer,1,Vertical velocity (geometric),Sigma level,Sigma level,wz,wz,Geometric vertical velocity,Geometric vertical velocity,unknown,unknown,wz,wz
1013,1014,meanSea,0,198,Mean sea level,Missing,unknown,mslma,unknown,MSLP (MAPS System Reduction),unknown,unknown,unknown,unknown
1014,1015,isobaricInhPa,1000,Geopotential height,Isobaric surface,Missing,gh,gh,Geopotential Height,Geopotential Height,geopotential_height,geopotential_height,gh,gh
1015,1016,heightAboveGround,1000,198,Specified height level above ground,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1016,1017,isothermal,263,195,Isothermal level,Missing,unknown,refd,unknown,Derived radar reflectivity,unknown,unknown,unknown,unknown
1017,1018,heightAboveGroundLayer,5000,199,Specified height level above ground,Specified height level above ground,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1018,1019,heightAboveGroundLayer,5000,200,Specified height level above ground,Specified height level above ground,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1019,1020,heightAboveGroundLayer,2000,199,Specified height level above ground,Specified height level above ground,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1020,1021,heightAboveGroundLayer,2000,200,Specified height level above ground,Specified height level above ground,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1021,1022,heightAboveGroundLayer,3000,199,Specified height level above ground,Specified height level above ground,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1022,1023,heightAboveGroundLayer,3000,200,Specified height level above ground,Specified height level above ground,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1023,1024,heightAboveGroundLayer,2000,Relative vorticity,Specified height level above ground,Specified height level above ground,vo,vo,Vorticity (relative),Vorticity (relative),atmosphere_relative_vorticity,atmosphere_relative_vorticity,vo,vo
1024,1025,heightAboveGroundLayer,1000,Relative vorticity,Specified height level above ground,Specified height level above ground,vo,vo,Vorticity (relative),Vorticity (relative),atmosphere_relative_vorticity,atmosphere_relative_vorticity,vo,vo
1025,1026,atmosphere,0,Hail,Entire atmosphere,Missing,hail,hail,Hail,Hail,unknown,unknown,hail,hail
1026,1027,sigma,0,Hail,Sigma level,Missing,hail,hail,Hail,Hail,unknown,unknown,hail,hail
1027,1028,atmosphereSingleLayer,0,74,Entire atmosphere,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1028,1029,atmosphere,0,192,Entire atmosphere,Missing,unknown,ltng,unknown,Lightning,unknown,unknown,unknown,unknown
1029,1030,heightAboveGround,80,u-component of wind,Specified height level above ground,Missing,u,u,U component of wind,U component of wind,eastward_wind,eastward_wind,u,u
1030,1031,heightAboveGround,80,v-component of wind,Specified height level above ground,Missing,v,v,V component of wind,V component of wind,northward_wind,northward_wind,v,v
1031,1032,surface,0,Pressure,Ground or water surface,Missing,sp,sp,Surface pressure,Surface pressure,surface_air_pressure,surface_air_pressure,sp,sp
1032,1033,surface,0,Geopotential height,Ground or water surface,Missing,orog,orog,Orography,Orography,geopotential_height,geopotential_height,orog,orog
1033,1034,surface,0,Temperature,Ground or water surface,Missing,t,t,Temperature,Temperature,air_temperature,air_temperature,t,t
1034,1035,surface,0,Total snowfall,Ground or water surface,Missing,asnow,asnow,Total snowfall,Total snowfall,unknown,unknown,asnow,asnow
1035,1036,depthBelowLand,0,194,Depth below land surface,Missing,unknown,mstav,unknown,Moisture availability,unknown,unknown,unknown,unknown
1036,1037,surface,0,Plant canopy surface water,Ground or water surface,Missing,cnwat,cnwat,Plant canopy surface water,Plant canopy surface water,unknown,unknown,cnwat,cnwat
1037,1038,surface,0,Water equivalent of accumulated snow depth,Ground or water surface,Missing,sdwe,sdwe,Water equivalent of accumulated snow depth (deprecated),Water equivalent of accumulated snow depth (deprecated),unknown,unknown,sdwe,sdwe
1038,1039,surface,0,Snow cover,Ground or water surface,Missing,snowc,snowc,Snow cover,Snow cover,unknown,unknown,snowc,snowc
1039,1040,surface,0,Snow depth,Ground or water surface,Missing,sde,sde,Snow depth,Snow depth,lwe_thickness_of_surface_snow_amount,lwe_thickness_of_surface_snow_amount,sde,sde
1040,1041,heightAboveGround,2,Temperature,Specified height level above ground,Missing,2t,2t,2 metre temperature,2 metre temperature,air_temperature,air_temperature,t2m,t2m
1041,1042,heightAboveGround,2,Potential temperature,Specified height level above ground,Missing,pt,pt,Potential temperature,Potential temperature,unknown,unknown,pt,pt
1042,1043,heightAboveGround,2,Specific humidity,Specified height level above ground,Missing,2sh,2sh,2 metre specific humidity,2 metre specific humidity,specific_humidity,specific_humidity,sh2,sh2
1043,1044,heightAboveGround,2,Dew point temperature,Specified height level above ground,Missing,2d,2d,2 metre dewpoint temperature,2 metre dewpoint temperature,unknown,unknown,d2m,d2m
1044,1045,heightAboveGround,2,Relative humidity,Specified height level above ground,Missing,2r,2r,2 metre relative humidity,2 metre relative humidity,relative_humidity,relative_humidity,r2,r2
1045,1046,heightAboveGround,8,Mass density,Specified height level above ground,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1046,1047,heightAboveGround,10,u-component of wind,Specified height level above ground,Missing,10u,10u,10 metre U wind component,10 metre U wind component,eastward_wind,eastward_wind,u10,u10
1047,1048,heightAboveGround,10,v-component of wind,Specified height level above ground,Missing,10v,10v,10 metre V wind component,10 metre V wind component,northward_wind,northward_wind,v10,v10
1048,1049,heightAboveGround,10,Wind speed,Specified height level above ground,Missing,10si,10si,10 metre wind speed,10 metre wind speed,unknown,unknown,si10,si10
1049,1050,heightAboveGround,10,222,Specified height level above ground,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1050,1051,heightAboveGround,10,223,Specified height level above ground,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1051,1052,surface,0,Percent frozen precipitation,Ground or water surface,Missing,cpofp,cpofp,Percent frozen precipitation,Percent frozen precipitation,unknown,unknown,cpofp,cpofp
1052,1053,surface,0,Precipitation rate,Ground or water surface,Missing,prate,prate,Precipitation rate,Precipitation rate,unknown,unknown,prate,prate
1053,1054,surface,0,Total precipitation,Ground or water surface,Missing,unknown,tp,unknown,Total Precipitation,unknown,unknown,unknown,unknown
